family,sigma,stride,class,seed,split,n_frames,L,R,eta,speed_mean,speed_std,speed_max,speed_change_mean_signed,speed_change_mean_abs,speed_change_max_abs,mean_cosine,angle_valid_fraction,efficiency_valid_flag,efficiency_valid_flag_calibrated,angle_valid_fraction_calibrated,n_angles,n_angles_valid,e95
B,0.0,16,jump,1004,train,9,0.4212197710468893,0.4212197710468893,1.0,0.4212197710468893,1.114442761493634,3.3697581683751143,0.0,7.702304384857404,26.958065347000915,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1005,test,9,0.4782636246438346,0.4782636246438346,1.0,0.4782636246438346,1.2653666119359286,3.8261089971506768,0.0,8.745391993487262,30.608871977205414,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1006,test,9,0.45519379721238606,0.45519379721238606,1.0,0.45519379721238606,1.2043295857631398,3.6415503776990885,0.0,8.32354372045506,29.132403021592708,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1007,test,9,0.4577787177498375,0.4577787177498375,1.0,0.4577787177498375,1.2111686426640997,3.6622297419987,0.0,8.370810838854172,29.2978379359896,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1008,test,9,0.42747865856870626,0.42747865856870626,1.0,0.42747865856870626,1.1310022213602873,3.41982926854965,0.0,7.816752613827772,27.3586341483972,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1009,test,9,0.45909563302876105,0.45909563302876105,1.0,0.45909563302876105,1.214652872989873,3.6727650642300884,0.0,8.39489157538306,29.382120513840707,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1010,test,9,0.47510505406746084,0.47510505406746084,1.0,0.47510505406746084,1.2570098196923978,3.8008404325396867,0.0,8.687635274376428,30.406723460317494,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1011,test,9,0.4484814216314977,0.4484814216314977,1.0,0.4484814216314977,1.1865703092696465,3.5878513730519814,0.0,8.20080313840453,28.70281098441585,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1012,test,9,0.42356017133916635,0.42356017133916635,1.0,0.42356017133916635,1.1206348786353422,3.3884813707133308,0.0,7.745100275916185,27.107850965706646,nan,0.0,1.0,1.0,0.0,7,0,0.0
B,0.0,16,jump,1013,test,9,0.4454466490336795,0.4454466490336795,1.0,0.4454466490336795,1.1785410556901859,3.563573192269436,0.0,8.145310153758711,28.508585538155486,nan,0.0,1.0,1.0,0.0,7,0,0.0
