run_id,family,config,z_value,seed,sigma,interval,u_mid,distance,above_e_static_05,above_e_loo
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,111,0.87109375,0.0539765751779666,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,112,0.87890625,0.0408300690919755,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,113,0.88671875,0.040198910424203,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,114,0.89453125,0.0351722662353015,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,115,0.90234375,0.0371610495300401,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,116,0.91015625,0.0391335534211356,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,117,0.91796875,0.0485469539829884,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,118,0.92578125,0.0406879970658343,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,119,0.93359375,0.0359528712075779,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,120,0.94140625,0.0379183483944681,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,121,0.94921875,0.0237796558316751,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,122,0.95703125,0.0139831709145388,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,123,0.96484375,0.0222560436810949,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,124,0.97265625,0.0269854394002261,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,125,0.98046875,0.0318393136689565,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,126,0.98828125,0.0432787240272436,false,false
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,127,0.99609375,0.0468332724295613,false,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,0,0.00390625,0.0326062138471443,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,1,0.01171875,0.086841493659553,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,2,0.01953125,0.0443754105334441,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,3,0.02734375,0.0559009037834328,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,4,0.03515625,0.0447510469394199,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,5,0.04296875,0.0378618600095796,,false
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,6,0.05078125,0.0421901880201523,,false
