run_id,comparison,family,seed,sigma,degree,frame,u,distance,tolerance
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,77,0.6015625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,78,0.609375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,79,0.6171875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,80,0.625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,81,0.6328125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,82,0.640625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,83,0.6484375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,84,0.65625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,85,0.6640625,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,86,0.671875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,87,0.6796875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,88,0.6875,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,89,0.6953125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,90,0.703125,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,91,0.7109375,0,1.53633563851169e-07
A_static_11_sigma0_stride1,A_translation_11_sigma0_stride1,A,11,0,1,92,0.71875,0,1.53633563851169e-07
